Width   #           Cycle start
1	2           0
2	1           0
3	3           2
4	2           0
5	2           1
6	9           8
7	4           0
8	6           1
9	9           1
10	10          7
11	37          23
12	58          24
13	32          12
14	102         0
15	144         47
16	434         58
17	694         56
18	883         725
19	319         306
20	1176        492
21	1919        1720
22	1521        1225
23	2824        1161
24	9733        2023
25	25425       1888
26	13093       1087
27	9984        1084
28	54243       18648
29	39962       11210
30	38255       13304
31	240587      148937
32	55612       29283
33	174826      143030
34	341570      175217
35	683726      155708
36	194682      194524
37	1592359     260564
38	4437337     3946325
39	674486      600542
40	5651305     1809089
41	1779339	    531745
42	6242580     3632975
43	32073904
44	16781265
45	14853957
46	20423368
